,code
0,bj.430047
1,bj.430090
2,bj.430198
3,bj.430418
4,bj.430489
5,bj.430510
6,bj.830799
7,bj.830832
8,bj.830839
9,bj.830946
10,bj.830964
11,bj.831010
12,bj.831039
13,bj.831305
14,bj.831370
15,bj.831445
16,bj.831726
17,bj.831768
18,bj.831832
19,bj.831856
20,bj.831961
21,bj.832000
22,bj.832089
23,bj.832145
24,bj.832171
25,bj.832225
26,bj.832278
27,bj.832317
28,bj.832566
29,bj.832735
30,bj.832885
31,bj.833266
32,bj.833346
33,bj.833427
34,bj.833454
35,bj.833509
36,bj.833523
37,bj.833819
38,bj.833873
39,bj.833874
40,bj.833994
41,bj.834021
42,bj.834415
43,bj.834475
44,bj.834599
45,bj.834682
46,bj.834765
47,bj.835174
48,bj.835179
49,bj.835184
50,bj.835185
51,bj.835305
52,bj.835368
53,bj.835508
54,bj.835640
55,bj.835670
56,bj.836077
57,bj.836149
58,bj.836239
59,bj.836260
60,bj.836263
61,bj.836433
62,bj.836675
63,bj.836720
64,bj.836826
65,bj.836892
66,bj.837092
67,bj.837212
68,bj.837242
69,bj.837344
70,bj.838030
71,bj.838163
72,bj.838275
73,bj.838924
74,bj.839167
75,bj.839680
76,bj.839729
77,bj.839946
78,bj.870204
79,bj.870436
80,bj.871245
81,bj.871396
82,bj.871553
83,bj.871642
84,bj.871857
85,bj.871981
86,bj.872925
87,sh.000001
88,sh.000002
89,sh.000003
90,sh.000004
91,sh.000005
92,sh.000006
93,sh.000007
94,sh.000008
95,sh.000009
96,sh.000010
97,sh.000011
98,sh.000012
99,sh.000013
100,sh.000015
101,sh.000016
102,sh.000017
103,sh.000018
104,sh.000019
105,sh.000020
106,sh.000021
107,sh.000022
108,sh.000025
109,sh.000026
110,sh.000027
111,sh.000028
112,sh.000029
113,sh.000030
114,sh.000031
115,sh.000032
116,sh.000033
117,sh.000034
118,sh.000035
119,sh.000036
120,sh.000037
121,sh.000038
122,sh.000039
123,sh.000040
124,sh.000041
125,sh.000042
126,sh.000043
127,sh.000044
128,sh.000045
129,sh.000046
130,sh.000047
131,sh.000048
132,sh.000049
133,sh.000050
134,sh.000051
135,sh.000052
136,sh.000053
137,sh.000054
138,sh.000056
139,sh.000057
140,sh.000058
141,sh.000059
142,sh.000060
143,sh.000061
144,sh.000062
145,sh.000063
146,sh.000064
147,sh.000065
148,sh.000066
149,sh.000067
150,sh.000068
151,sh.000069
152,sh.000070
153,sh.000071
154,sh.000072
155,sh.000073
156,sh.000074
157,sh.000075
158,sh.000076
159,sh.000077
160,sh.000078
161,sh.000079
162,sh.000090
163,sh.000091
164,sh.000092
165,sh.000093
166,sh.000094
167,sh.000095
168,sh.000096
169,sh.000097
170,sh.000098
171,sh.000099
172,sh.000100
173,sh.000101
174,sh.000102
175,sh.000103
176,sh.000104
177,sh.000105
178,sh.000106
179,sh.000107
180,sh.000108
181,sh.000109
182,sh.000110
183,sh.000111
184,sh.000112
185,sh.000113
186,sh.000114
187,sh.000115
188,sh.000116
189,sh.000117
190,sh.000118
191,sh.000119
192,sh.000120
193,sh.000121
194,sh.000122
195,sh.000123
196,sh.000125
197,sh.000126
198,sh.000128
199,sh.000129
200,sh.000130
201,sh.000131
202,sh.000132
203,sh.000133
204,sh.000134
205,sh.000135
206,sh.000136
207,sh.000137
208,sh.000138
209,sh.000139
210,sh.000141
211,sh.000142
212,sh.000145
213,sh.000146
214,sh.000147
215,sh.000148
216,sh.000149
217,sh.000150
218,sh.000151
219,sh.000152
220,sh.000153
221,sh.000155
222,sh.000158
223,sh.000159
224,sh.000160
225,sh.000161
226,sh.000162
227,sh.000300
228,sh.000802
229,sh.000805
230,sh.000806
231,sh.000807
232,sh.000808
233,sh.000814
234,sh.000816
235,sh.000819
236,sh.000821
237,sh.000823
238,sh.000827
239,sh.000828
240,sh.000832
241,sh.000846
242,sh.000847
243,sh.000849
244,sh.000851
245,sh.000852
246,sh.000853
247,sh.000854
248,sh.000855
249,sh.000856
250,sh.000857
251,sh.000858
252,sh.000901
253,sh.000903
254,sh.000904
255,sh.000905
256,sh.000906
257,sh.000908
258,sh.000909
259,sh.000910
260,sh.000911
261,sh.000912
262,sh.000913
263,sh.000914
264,sh.000917
265,sh.000918
266,sh.000919
267,sh.000922
268,sh.000925
269,sh.000928
270,sh.000931
271,sh.000932
272,sh.000933
273,sh.000934
274,sh.000935
275,sh.000940
276,sh.000944
277,sh.000950
278,sh.000951
279,sh.000952
280,sh.000957
281,sh.000958
282,sh.000959
283,sh.000961
284,sh.000963
285,sh.000964
286,sh.000966
287,sh.000969
288,sh.000971
289,sh.000974
290,sh.000975
291,sh.000977
292,sh.000978
293,sh.000979
294,sh.000982
295,sh.000983
296,sh.000984
297,sh.000986
298,sh.000987
299,sh.000989
300,sh.000990
301,sh.000991
302,sh.000992
303,sh.000993
304,sh.000998
305,sh.600000
306,sh.600004
307,sh.600006
308,sh.600007
309,sh.600008
310,sh.600009
311,sh.600010
312,sh.600011
313,sh.600012
314,sh.600015
315,sh.600016
316,sh.600017
317,sh.600018
318,sh.600019
319,sh.600020
320,sh.600021
321,sh.600022
322,sh.600023
323,sh.600025
324,sh.600026
325,sh.600027
326,sh.600028
327,sh.600029
328,sh.600030
329,sh.600031
330,sh.600032
331,sh.600033
332,sh.600035
333,sh.600036
334,sh.600037
335,sh.600038
336,sh.600039
337,sh.600048
338,sh.600050
339,sh.600051
340,sh.600052
341,sh.600053
342,sh.600054
343,sh.600055
344,sh.600056
345,sh.600057
346,sh.600058
347,sh.600059
348,sh.600060
349,sh.600061
350,sh.600062
351,sh.600063
352,sh.600064
353,sh.600066
354,sh.600067
355,sh.600070
356,sh.600071
357,sh.600072
358,sh.600073
359,sh.600075
360,sh.600076
361,sh.600077
362,sh.600078
363,sh.600079
364,sh.600080
365,sh.600081
366,sh.600082
367,sh.600083
368,sh.600084
369,sh.600085
370,sh.600088
371,sh.600089
372,sh.600090
373,sh.600091
374,sh.600093
375,sh.600094
376,sh.600095
377,sh.600096
378,sh.600097
379,sh.600098
380,sh.600099
381,sh.600100
382,sh.600101
383,sh.600103
384,sh.600104
385,sh.600105
386,sh.600106
387,sh.600107
388,sh.600108
389,sh.600109
390,sh.600110
391,sh.600111
392,sh.600112
393,sh.600113
394,sh.600114
395,sh.600115
396,sh.600116
397,sh.600117
398,sh.600118
399,sh.600119
400,sh.600120
401,sh.600121
402,sh.600122
403,sh.600123
404,sh.600125
405,sh.600126
406,sh.600127
407,sh.600128
408,sh.600129
409,sh.600130
410,sh.600131
411,sh.600132
412,sh.600133
413,sh.600135
414,sh.600136
415,sh.600137
416,sh.600138
417,sh.600139
418,sh.600141
419,sh.600143
420,sh.600145
421,sh.600146
422,sh.600148
423,sh.600149
424,sh.600150
425,sh.600151
426,sh.600152
427,sh.600153
428,sh.600155
429,sh.600156
430,sh.600157
431,sh.600158
432,sh.600159
433,sh.600160
434,sh.600161
435,sh.600162
436,sh.600163
437,sh.600165
438,sh.600166
439,sh.600167
440,sh.600168
441,sh.600169
442,sh.600170
443,sh.600171
444,sh.600172
445,sh.600173
446,sh.600176
447,sh.600177
448,sh.600178
449,sh.600179
450,sh.600180
451,sh.600182
452,sh.600183
453,sh.600184
454,sh.600185
455,sh.600186
456,sh.600187
457,sh.600188
458,sh.600189
459,sh.600190
460,sh.600191
461,sh.600192
462,sh.600193
463,sh.600195
464,sh.600196
465,sh.600197
466,sh.600198
467,sh.600199
468,sh.600200
469,sh.600201
470,sh.600202
471,sh.600203
472,sh.600206
473,sh.600207
474,sh.600208
475,sh.600209
476,sh.600210
477,sh.600211
478,sh.600212
479,sh.600213
480,sh.600215
481,sh.600216
482,sh.600217
483,sh.600218
484,sh.600219
485,sh.600220
486,sh.600221
487,sh.600222
488,sh.600223
489,sh.600225
490,sh.600226
491,sh.600227
492,sh.600228
493,sh.600229
494,sh.600230
495,sh.600231
496,sh.600232
497,sh.600233
498,sh.600234
499,sh.600235
500,sh.600236
501,sh.600237
502,sh.600238
503,sh.600239
504,sh.600241
505,sh.600242
506,sh.600243
507,sh.600246
508,sh.600248
509,sh.600249
510,sh.600250
511,sh.600251
512,sh.600252
513,sh.600255
514,sh.600256
515,sh.600257
516,sh.600258
517,sh.600259
518,sh.600260
519,sh.600261
520,sh.600262
521,sh.600265
522,sh.600266
523,sh.600267
524,sh.600268
525,sh.600269
526,sh.600271
527,sh.600272
528,sh.600273
529,sh.600275
530,sh.600276
531,sh.600277
532,sh.600278
533,sh.600279
534,sh.600280
535,sh.600281
536,sh.600282
537,sh.600283
538,sh.600284
539,sh.600285
540,sh.600287
541,sh.600288
542,sh.600289
543,sh.600290
544,sh.600291
545,sh.600292
546,sh.600293
547,sh.600295
548,sh.600297
549,sh.600298
550,sh.600299
551,sh.600300
552,sh.600301
553,sh.600302
554,sh.600303
555,sh.600305
556,sh.600306
557,sh.600307
558,sh.600308
559,sh.600309
560,sh.600310
561,sh.600311
562,sh.600312
563,sh.600313
564,sh.600315
565,sh.600316
566,sh.600318
567,sh.600319
568,sh.600320
569,sh.600321
570,sh.600322
571,sh.600323
572,sh.600325
573,sh.600326
574,sh.600327
575,sh.600328
576,sh.600329
577,sh.600330
578,sh.600331
579,sh.600332
580,sh.600333
581,sh.600335
582,sh.600336
583,sh.600337
584,sh.600338
585,sh.600339
586,sh.600340
587,sh.600343
588,sh.600345
589,sh.600346
590,sh.600348
591,sh.600350
592,sh.600351
593,sh.600352
594,sh.600353
595,sh.600354
596,sh.600355
597,sh.600356
598,sh.600358
599,sh.600359
600,sh.600360
601,sh.600361
602,sh.600362
603,sh.600363
604,sh.600365
605,sh.600366
606,sh.600367
607,sh.600368
608,sh.600369
609,sh.600370
610,sh.600371
611,sh.600372
612,sh.600373
613,sh.600375
614,sh.600376
615,sh.600377
616,sh.600378
617,sh.600379
618,sh.600380
619,sh.600381
620,sh.600382
621,sh.600383
622,sh.600385
623,sh.600386
624,sh.600387
625,sh.600388
626,sh.600389
627,sh.600390
628,sh.600391
629,sh.600392
630,sh.600393
631,sh.600395
632,sh.600396
633,sh.600397
634,sh.600398
635,sh.600399
636,sh.600400
637,sh.600403
638,sh.600405
639,sh.600406
640,sh.600408
641,sh.600409
642,sh.600410
643,sh.600415
644,sh.600416
645,sh.600418
646,sh.600419
647,sh.600420
648,sh.600421
649,sh.600422
650,sh.600423
651,sh.600425
652,sh.600426
653,sh.600428
654,sh.600429
655,sh.600433
656,sh.600435
657,sh.600436
658,sh.600438
659,sh.600439
660,sh.600444
661,sh.600446
662,sh.600448
663,sh.600449
664,sh.600452
665,sh.600455
666,sh.600456
667,sh.600458
668,sh.600459
669,sh.600460
670,sh.600461
671,sh.600462
672,sh.600463
673,sh.600466
674,sh.600467
675,sh.600468
676,sh.600469
677,sh.600470
678,sh.600475
679,sh.600476
680,sh.600477
681,sh.600478
682,sh.600479
683,sh.600480
684,sh.600481
685,sh.600482
686,sh.600483
687,sh.600486
688,sh.600487
689,sh.600488
690,sh.600489
691,sh.600490
692,sh.600491
693,sh.600493
694,sh.600495
695,sh.600496
696,sh.600497
697,sh.600498
698,sh.600499
699,sh.600500
700,sh.600501
701,sh.600502
702,sh.600503
703,sh.600505
704,sh.600506
705,sh.600507
706,sh.600508
707,sh.600509
708,sh.600510
709,sh.600511
710,sh.600512
711,sh.600513
712,sh.600515
713,sh.600516
714,sh.600517
715,sh.600518
716,sh.600519
717,sh.600520
718,sh.600521
719,sh.600522
720,sh.600523
721,sh.600525
722,sh.600526
723,sh.600527
724,sh.600528
725,sh.600529
726,sh.600530
727,sh.600531
728,sh.600532
729,sh.600533
730,sh.600535
731,sh.600536
732,sh.600537
733,sh.600538
734,sh.600539
735,sh.600540
736,sh.600543
737,sh.600545
738,sh.600546
739,sh.600547
740,sh.600548
741,sh.600549
742,sh.600550
743,sh.600551
744,sh.600552
745,sh.600555
746,sh.600556
747,sh.600557
748,sh.600558
749,sh.600559
750,sh.600560
751,sh.600561
752,sh.600562
753,sh.600563
754,sh.600565
755,sh.600566
756,sh.600567
757,sh.600568
758,sh.600569
759,sh.600570
760,sh.600571
761,sh.600572
762,sh.600573
763,sh.600575
764,sh.600576
765,sh.600577
766,sh.600578
767,sh.600579
768,sh.600580
769,sh.600581
770,sh.600582
771,sh.600583
772,sh.600584
773,sh.600585
774,sh.600586
775,sh.600587
776,sh.600588
777,sh.600589
778,sh.600590
779,sh.600592
780,sh.600593
781,sh.600594
782,sh.600595
783,sh.600596
784,sh.600597
785,sh.600598
786,sh.600599
787,sh.600600
788,sh.600601
789,sh.600602
790,sh.600603
791,sh.600604
792,sh.600605
793,sh.600606
794,sh.600608
795,sh.600609
796,sh.600610
797,sh.600611
798,sh.600612
799,sh.600613
800,sh.600615
801,sh.600616
802,sh.600617
803,sh.600618
804,sh.600619
805,sh.600620
806,sh.600621
807,sh.600622
808,sh.600623
809,sh.600624
810,sh.600626
811,sh.600628
812,sh.600629
813,sh.600630
814,sh.600633
815,sh.600635
816,sh.600636
817,sh.600637
818,sh.600638
819,sh.600639
820,sh.600640
821,sh.600641
822,sh.600642
823,sh.600643
824,sh.600644
825,sh.600645
826,sh.600647
827,sh.600648
828,sh.600649
829,sh.600650
830,sh.600651
831,sh.600652
832,sh.600653
833,sh.600654
834,sh.600655
835,sh.600657
836,sh.600658
837,sh.600660
838,sh.600661
839,sh.600662
840,sh.600663
841,sh.600664
842,sh.600665
843,sh.600666
844,sh.600667
845,sh.600668
846,sh.600671
847,sh.600673
848,sh.600674
849,sh.600675
850,sh.600676
851,sh.600678
852,sh.600679
853,sh.600681
854,sh.600682
855,sh.600683
856,sh.600684
857,sh.600685
858,sh.600686
859,sh.600688
860,sh.600689
861,sh.600690
862,sh.600691
863,sh.600692
864,sh.600693
865,sh.600694
866,sh.600695
867,sh.600696
868,sh.600697
869,sh.600698
870,sh.600699
871,sh.600702
872,sh.600703
873,sh.600704
874,sh.600705
875,sh.600706
876,sh.600707
877,sh.600708
878,sh.600710
879,sh.600711
880,sh.600712
881,sh.600713
882,sh.600714
883,sh.600715
884,sh.600716
885,sh.600717
886,sh.600718
887,sh.600719
888,sh.600720
889,sh.600721
890,sh.600722
891,sh.600724
892,sh.600725
893,sh.600726
894,sh.600727
895,sh.600728
896,sh.600729
897,sh.600730
898,sh.600731
899,sh.600732
900,sh.600733
901,sh.600734
902,sh.600735
903,sh.600736
904,sh.600737
905,sh.600738
906,sh.600739
907,sh.600740
908,sh.600741
909,sh.600742
910,sh.600743
911,sh.600744
912,sh.600745
913,sh.600746
914,sh.600748
915,sh.600749
916,sh.600750
917,sh.600751
918,sh.600753
919,sh.600754
920,sh.600755
921,sh.600756
922,sh.600757
923,sh.600758
924,sh.600759
925,sh.600760
926,sh.600761
927,sh.600763
928,sh.600764
929,sh.600765
930,sh.600766
931,sh.600767
932,sh.600768
933,sh.600769
934,sh.600770
935,sh.600771
936,sh.600773
937,sh.600774
938,sh.600775
939,sh.600776
940,sh.600777
941,sh.600778
942,sh.600779
943,sh.600780
944,sh.600781
945,sh.600782
946,sh.600783
947,sh.600784
948,sh.600785
949,sh.600787
950,sh.600789
951,sh.600790
952,sh.600791
953,sh.600792
954,sh.600793
955,sh.600794
956,sh.600795
957,sh.600796
958,sh.600797
959,sh.600798
960,sh.600800
961,sh.600801
962,sh.600802
963,sh.600803
964,sh.600804
965,sh.600805
966,sh.600807
967,sh.600808
968,sh.600809
969,sh.600810
970,sh.600811
971,sh.600812
972,sh.600814
973,sh.600815
974,sh.600816
975,sh.600817
976,sh.600818
977,sh.600819
978,sh.600820
979,sh.600821
980,sh.600822
981,sh.600823
982,sh.600824
983,sh.600825
984,sh.600826
985,sh.600827
986,sh.600828
987,sh.600829
988,sh.600830
989,sh.600831
990,sh.600833
991,sh.600834
992,sh.600835
993,sh.600836
994,sh.600837
995,sh.600838
996,sh.600839
997,sh.600841
998,sh.600843
999,sh.600844
1000,sh.600845
1001,sh.600846
1002,sh.600847
1003,sh.600848
1004,sh.600850
1005,sh.600851
1006,sh.600853
1007,sh.600854
1008,sh.600855
1009,sh.600856
1010,sh.600857
1011,sh.600858
1012,sh.600859
1013,sh.600860
1014,sh.600861
1015,sh.600862
1016,sh.600863
1017,sh.600864
1018,sh.600865
1019,sh.600866
1020,sh.600867
1021,sh.600868
1022,sh.600869
1023,sh.600870
1024,sh.600871
1025,sh.600872
1026,sh.600873
1027,sh.600874
1028,sh.600875
1029,sh.600876
1030,sh.600877
1031,sh.600879
1032,sh.600880
1033,sh.600881
1034,sh.600882
1035,sh.600883
1036,sh.600884
1037,sh.600885
1038,sh.600886
1039,sh.600887
1040,sh.600888
1041,sh.600889
1042,sh.600890
1043,sh.600892
1044,sh.600893
1045,sh.600894
1046,sh.600895
1047,sh.600896
1048,sh.600897
1049,sh.600898
1050,sh.600900
1051,sh.600901
1052,sh.600903
1053,sh.600905
1054,sh.600906
1055,sh.600908
1056,sh.600909
1057,sh.600916
1058,sh.600917
1059,sh.600918
1060,sh.600919
1061,sh.600926
1062,sh.600927
1063,sh.600928
1064,sh.600929
1065,sh.600933
1066,sh.600935
1067,sh.600936
1068,sh.600939
1069,sh.600941
1070,sh.600955
1071,sh.600956
1072,sh.600958
1073,sh.600959
1074,sh.600960
1075,sh.600961
1076,sh.600962
1077,sh.600963
1078,sh.600965
1079,sh.600966
1080,sh.600967
1081,sh.600968
1082,sh.600969
1083,sh.600970
1084,sh.600971
1085,sh.600973
1086,sh.600975
1087,sh.600976
1088,sh.600977
1089,sh.600979
1090,sh.600980
1091,sh.600981
1092,sh.600982
1093,sh.600983
1094,sh.600984
1095,sh.600985
1096,sh.600986
1097,sh.600987
1098,sh.600988
1099,sh.600989
1100,sh.600990
1101,sh.600992
1102,sh.600993
1103,sh.600995
1104,sh.600996
1105,sh.600997
1106,sh.600998
1107,sh.600999
1108,sh.601000
1109,sh.601001
1110,sh.601002
1111,sh.601003
1112,sh.601005
1113,sh.601006
1114,sh.601007
1115,sh.601008
1116,sh.601009
1117,sh.601010
1118,sh.601011
1119,sh.601012
1120,sh.601015
1121,sh.601016
1122,sh.601018
1123,sh.601019
1124,sh.601020
1125,sh.601021
1126,sh.601028
1127,sh.601038
1128,sh.601058
1129,sh.601066
1130,sh.601068
1131,sh.601069
1132,sh.601077
1133,sh.601086
1134,sh.601088
1135,sh.601098
1136,sh.601099
1137,sh.601100
1138,sh.601101
1139,sh.601106
1140,sh.601107
1141,sh.601108
1142,sh.601111
1143,sh.601113
1144,sh.601116
1145,sh.601117
1146,sh.601118
1147,sh.601126
1148,sh.601127
1149,sh.601128
1150,sh.601137
1151,sh.601138
1152,sh.601139
1153,sh.601155
1154,sh.601156
1155,sh.601158
1156,sh.601162
1157,sh.601163
1158,sh.601166
1159,sh.601168
1160,sh.601169
1161,sh.601177
1162,sh.601179
1163,sh.601186
1164,sh.601187
1165,sh.601188
1166,sh.601198
1167,sh.601199
1168,sh.601200
1169,sh.601208
1170,sh.601211
1171,sh.601212
1172,sh.601216
1173,sh.601218
1174,sh.601222
1175,sh.601225
1176,sh.601226
1177,sh.601228
1178,sh.601229
1179,sh.601231
1180,sh.601233
1181,sh.601236
1182,sh.601238
1183,sh.601258
1184,sh.601279
1185,sh.601288
1186,sh.601298
1187,sh.601311
1188,sh.601318
1189,sh.601319
1190,sh.601326
1191,sh.601328
1192,sh.601330
1193,sh.601333
1194,sh.601336
1195,sh.601339
1196,sh.601360
1197,sh.601366
1198,sh.601368
1199,sh.601369
1200,sh.601375
1201,sh.601377
1202,sh.601388
1203,sh.601390
1204,sh.601398
1205,sh.601399
1206,sh.601456
1207,sh.601500
1208,sh.601512
1209,sh.601515
1210,sh.601518
1211,sh.601519
1212,sh.601528
1213,sh.601555
1214,sh.601566
1215,sh.601567
1216,sh.601568
1217,sh.601577
1218,sh.601579
1219,sh.601588
1220,sh.601595
1221,sh.601598
1222,sh.601599
1223,sh.601600
1224,sh.601601
1225,sh.601606
1226,sh.601607
1227,sh.601608
1228,sh.601609
1229,sh.601611
1230,sh.601615
1231,sh.601616
1232,sh.601618
1233,sh.601619
1234,sh.601628
1235,sh.601633
1236,sh.601636
1237,sh.601658
1238,sh.601665
1239,sh.601666
1240,sh.601668
1241,sh.601669
1242,sh.601677
1243,sh.601678
1244,sh.601686
1245,sh.601688
1246,sh.601689
1247,sh.601696
1248,sh.601698
1249,sh.601699
1250,sh.601700
1251,sh.601702
1252,sh.601717
1253,sh.601718
1254,sh.601727
1255,sh.601728
1256,sh.601766
1257,sh.601777
1258,sh.601778
1259,sh.601788
1260,sh.601789
1261,sh.601798
1262,sh.601799
1263,sh.601800
1264,sh.601801
1265,sh.601808
1266,sh.601811
1267,sh.601816
1268,sh.601818
1269,sh.601825
1270,sh.601827
1271,sh.601828
1272,sh.601838
1273,sh.601857
1274,sh.601858
1275,sh.601860
1276,sh.601865
1277,sh.601866
1278,sh.601868
1279,sh.601869
1280,sh.601872
1281,sh.601877
1282,sh.601878
1283,sh.601880
1284,sh.601881
1285,sh.601882
1286,sh.601886
1287,sh.601888
1288,sh.601890
1289,sh.601898
1290,sh.601899
1291,sh.601900
1292,sh.601901
1293,sh.601908
1294,sh.601916
1295,sh.601918
1296,sh.601919
1297,sh.601921
1298,sh.601928
1299,sh.601929
1300,sh.601933
1301,sh.601939
1302,sh.601949
1303,sh.601952
1304,sh.601956
1305,sh.601958
1306,sh.601963
1307,sh.601965
1308,sh.601966
1309,sh.601968
1310,sh.601969
1311,sh.601975
1312,sh.601985
1313,sh.601988
1314,sh.601989
1315,sh.601990
1316,sh.601991
1317,sh.601992
1318,sh.601995
1319,sh.601996
1320,sh.601997
1321,sh.601998
1322,sh.601999
1323,sh.603000
1324,sh.603001
1325,sh.603002
1326,sh.603003
1327,sh.603005
1328,sh.603006
1329,sh.603007
1330,sh.603008
1331,sh.603009
1332,sh.603010
1333,sh.603011
1334,sh.603012
1335,sh.603013
1336,sh.603015
1337,sh.603016
1338,sh.603017
1339,sh.603018
1340,sh.603019
1341,sh.603020
1342,sh.603021
1343,sh.603022
1344,sh.603023
1345,sh.603025
1346,sh.603026
1347,sh.603027
1348,sh.603028
1349,sh.603029
1350,sh.603030
1351,sh.603031
1352,sh.603032
1353,sh.603033
1354,sh.603035
1355,sh.603036
1356,sh.603037
1357,sh.603038
1358,sh.603039
1359,sh.603040
1360,sh.603041
1361,sh.603042
1362,sh.603043
1363,sh.603045
